GEO_ID,NAME,S1501_C01_001E
37001,"Alamance County, North Carolina",16914
37003,"Alexander County, North Carolina",2818
37005,"Alleghany County, North Carolina",669
37007,"Anson County, North Carolina",2058
37009,"Ashe County, North Carolina",1651
37011,"Avery County, North Carolina",1602
37013,"Beaufort County, North Carolina",3390
37015,"Bertie County, North Carolina",1590
37017,"Bladen County, North Carolina",2445
37019,"Brunswick County, North Carolina",7207
37021,"Buncombe County, North Carolina",20030
37023,"Burke County, North Carolina",7704
37025,"Cabarrus County, North Carolina",16417
37027,"Caldwell County, North Carolina",6184
37029,"Camden County, North Carolina",715
37031,"Carteret County, North Carolina",4586
37033,"Caswell County, North Carolina",1700
37035,"Catawba County, North Carolina",13308
37037,"Chatham County, North Carolina",4542
37039,"Cherokee County, North Carolina",1705
37041,"Chowan County, North Carolina",591
37043,"Clay County, North Carolina",654
37045,"Cleveland County, North Carolina",9024
37047,"Columbus County, North Carolina",4703
37049,"Craven County, North Carolina",12701
37051,"Cumberland County, North Carolina",44645
37053,"Currituck County, North Carolina",1731
37055,"Dare County, North Carolina",2293
37057,"Davidson County, North Carolina",12528
37059,"Davie County, North Carolina",3009
37061,"Duplin County, North Carolina",4740
37063,"Durham County, North Carolina",31734
37065,"Edgecombe County, North Carolina",4302
37067,"Forsyth County, North Carolina",36493
37069,"Franklin County, North Carolina",5556
37071,"Gaston County, North Carolina",17907
37073,"Gates County, North Carolina",828
37075,"Graham County, North Carolina",681
37077,"Granville County, North Carolina",5137
37079,"Greene County, North Carolina",1737
37081,"Guilford County, North Carolina",57683
37083,"Halifax County, North Carolina",4032
37085,"Harnett County, North Carolina",11823
37087,"Haywood County, North Carolina",4102
37089,"Henderson County, North Carolina",7353
37091,"Hertford County, North Carolina",2794
37093,"Hoke County, North Carolina",4375
37095,"Hyde County, North Carolina",310
37097,"Iredell County, North Carolina",14192
37099,"Jackson County, North Carolina",8312
37101,"Johnston County, North Carolina",15537
37103,"Jones County, North Carolina",541
37105,"Lee County, North Carolina",4998
37107,"Lenoir County, North Carolina",4361
37109,"Lincoln County, North Carolina",6118
37111,"McDowell County, North Carolina",3112
37113,"Macon County, North Carolina",2184
37115,"Madison County, North Carolina",2250
37117,"Martin County, North Carolina",1666
37119,"Mecklenburg County, North Carolina",97295
37121,"Mitchell County, North Carolina",1092
37123,"Montgomery County, North Carolina",2182
37125,"Moore County, North Carolina",6404
37127,"Nash County, North Carolina",8347
37129,"New Hanover County, North Carolina",29340
37131,"Northampton County, North Carolina",1416
37133,"Onslow County, North Carolina",42761
37135,"Orange County, North Carolina",26293
37137,"Pamlico County, North Carolina",827
37139,"Pasquotank County, North Carolina",3779
37141,"Pender County, North Carolina",4353
37143,"Perquimans County, North Carolina",800
37145,"Person County, North Carolina",2930
37147,"Pitt County, North Carolina",31573
37149,"Polk County, North Carolina",1294
37151,"Randolph County, North Carolina",11319
37153,"Richmond County, North Carolina",4157
37155,"Robeson County, North Carolina",13642
37157,"Rockingham County, North Carolina",6950
37159,"Rowan County, North Carolina",12167
37161,"Rutherford County, North Carolina",4936
37163,"Sampson County, North Carolina",5299
37165,"Scotland County, North Carolina",3416
37167,"Stanly County, North Carolina",5064
37169,"Stokes County, North Carolina",3342
37171,"Surry County, North Carolina",5642
37173,"Swain County, North Carolina",1181
37175,"Transylvania County, North Carolina",2732
37177,"Tyrrell County, North Carolina",428
37179,"Union County, North Carolina",20709
37181,"Vance County, North Carolina",3803
37183,"Wake County, North Carolina",97544
37185,"Warren County, North Carolina",1704
37187,"Washington County, North Carolina",1329
37189,"Watauga County, North Carolina",16021
37191,"Wayne County, North Carolina",12056
37193,"Wilkes County, North Carolina",5075
37195,"Wilson County, North Carolina",7099
37197,"Yadkin County, North Carolina",2876
37199,"Yancey County, North Carolina",1254
